,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.00048059999999999986,15.0,150,0.01,2048
1,1,0.0142826,17.0,150,0.01,2048
2,2,0.0429444,17.0,150,0.01,2048
3,3,0.0618793,17.0,150,0.01,2048
4,4,0.06976349999999999,17.0,150,0.01,2048
5,5,0.0887418,18.0,150,0.01,2048
6,6,0.0996097,18.0,150,0.01,2048
7,7,0.1120659,19.0,150,0.01,2048
8,8,0.1222684,15.0,150,0.02,2048
9,9,0.00043459999999997945,15.0,150,0.02,2048
10,10,0.014407900000000001,16.0,150,0.02,2048
11,11,0.03956689999999999,16.0,150,0.02,2048
12,12,0.0649138,16.0,150,0.02,2048
13,13,0.07299739999999999,17.0,150,0.02,2048
14,14,0.0991427,17.0,150,0.02,2048
15,15,0.10721259999999999,18.0,150,0.02,2048
16,16,0.1175854,18.0,150,0.02,2048
17,17,0.12600139999999999,18.0,150,0.02,2048
18,18,0.1453739,18.0,150,0.02,2048
19,19,0.1533007,18.0,150,0.02,2048
20,20,0.1643034,18.0,150,0.02,2048
21,21,0.17682199999999998,18.0,150,0.02,2048
22,22,0.1900871,18.0,150,0.02,2048
23,23,0.20288819999999996,18.0,150,0.02,2048
24,24,0.2155649,18.0,150,0.02,2048
25,25,0.22820659999999998,18.0,150,0.02,2048
26,26,0.2611303,18.0,150,0.02,2048
27,27,0.27758109999999997,18.0,150,0.02,2048
28,28,0.29163479999999997,18.0,150,0.02,2048
29,29,0.3011831,18.0,150,0.02,2048
30,30,0.3092246,18.0,150,0.02,2048
31,31,0.3179741,18.0,150,0.02,2048
32,32,0.325774,18.0,150,0.02,2048
33,33,0.3341762,18.0,150,0.02,2048
34,34,0.3419194,18.0,150,0.02,2048
35,35,0.34971369999999996,18.0,150,0.02,2048
36,36,0.3583163,18.0,150,0.02,2048
37,37,0.36666839999999995,18.0,150,0.02,2048
38,38,0.3752199,18.0,150,0.02,2048
39,39,0.38347099999999995,18.0,150,0.02,2048
40,40,0.39151430000000004,18.0,150,0.02,2048
41,41,0.3996177,18.0,150,0.02,2048
42,42,0.419511,18.0,150,0.02,2048
43,43,0.43200849999999996,18.0,150,0.02,2048
44,44,0.44409950000000004,18.0,150,0.02,2048
45,45,0.45627860000000003,18.0,150,0.02,2048
46,46,0.46843569999999995,18.0,150,0.02,2048
47,47,0.479895,18.0,150,0.02,2048
