,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0009071999993466306,63.0,False,150,0.01,2048
1,1,4.892740299999787,63.0,False,150,0.01,2048
2,2,9.746946499999467,63.0,False,150,0.01,2048
3,3,14.824031699999978,63.0,False,150,0.01,2048
4,4,19.948968999999124,63.0,False,150,0.01,2048
5,5,24.79090869999891,63.0,False,150,0.01,2048
6,6,29.69370329999947,63.0,False,150,0.01,2048
7,7,34.607308899998316,63.0,False,150,0.01,2048
8,8,39.517426099999284,63.0,False,150,0.01,2048
9,9,44.57114509999883,63.0,False,150,0.01,2048
10,10,49.41444099999899,63.0,False,150,0.01,2048
11,11,54.31762819999858,63.0,False,150,0.01,2048
12,12,59.12559239999973,63.0,False,150,0.01,2048
13,13,64.20037759999832,63.0,False,150,0.01,2048
14,14,68.97393679999914,63.0,False,150,0.01,2048
15,15,73.89926549999836,63.0,False,150,0.01,2048
16,16,78.9672374999991,63.0,False,150,0.01,2048
17,17,83.78425519999837,63.0,False,150,0.01,2048
18,18,88.62476379999862,63.0,False,150,0.01,2048
19,19,93.37668200000007,63.0,False,150,0.01,2048
20,20,98.18131939999876,63.0,False,150,0.01,2048
21,21,102.99274009999863,63.0,False,150,0.01,2048
22,22,107.69700249999914,63.0,False,150,0.01,2048
23,23,112.45068569999967,63.0,False,150,0.01,2048
24,24,117.10756579999907,63.0,False,150,0.01,2048
25,25,121.48682609999923,63.0,False,150,0.01,2048
26,26,125.71788409999863,63.0,False,150,0.01,2048
27,27,130.3025431999995,63.0,False,150,0.01,2048
28,28,135.1102160999999,63.0,False,150,0.01,2048
29,29,140.07106759999988,63.0,False,150,0.01,2048
30,30,144.86741409999922,63.0,False,150,0.01,2048
31,31,149.50976779999837,63.0,False,150,0.01,2048
32,32,154.05345399999896,63.0,False,150,0.01,2048
33,33,158.67813249999926,63.0,False,150,0.01,2048
34,34,163.30176699999902,63.0,False,150,0.01,2048
35,35,168.05233809999845,63.0,False,150,0.01,2048
36,36,172.5738580999987,63.0,False,150,0.01,2048
37,37,177.14566249999916,63.0,False,150,0.01,2048
38,38,181.76530749999984,63.0,False,150,0.01,2048
39,39,186.38431369999853,63.0,False,150,0.01,2048
40,40,191.00482999999986,63.0,False,150,0.01,2048
