,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,157.0,0.0086182,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",150,0.01,2048
1,1,284.0,0.0232644,"[3, 1, 4, 0, 3, 4, 0, 3, 2, 4, 4, 4, 4, 4, 2, 0, 2, 4, 4, 4]",150,0.01,2048
2,2,284.0,0.0545813,"[3, 1, 4, 0, 3, 4, 0, 3, 2, 4, 4, 4, 4, 4, 2, 0, 2, 4, 4, 4]",150,0.01,2048
3,4,294.0,0.1076182,"[4, 4, 4, 3, 2, 4, 1, 2, 4, 3, 2, 4, 2, 4, 2, 2, 3, 2, 0, 3]",150,0.01,2048
4,8,318.0,0.1774533,"[4, 3, 4, 1, 4, 3, 2, 3, 4, 1, 1, 4, 4, 4, 3, 3, 4, 4, 1, 4]",150,0.01,2048
5,16,331.0,0.3434269,"[4, 4, 4, 3, 3, 4, 1, 3, 4, 3, 4, 4, 4, 4, 2, 2, 3, 4, 0, 3]",150,0.01,2048
6,32,346.0,0.6261151,"[4, 4, 4, 1, 4, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.01,2048
7,64,348.0,1.2708545,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.01,2048
8,128,348.0,2.5516159,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.01,2048
9,256,348.0,5.1996411,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.01,2048
10,512,348.0,5.1996411,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.01,2048
11,1024,348.0,5.1996411,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.01,2048
12,2048,348.0,5.1996411,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.01,2048
13,0,157.0,0.014852199999999982,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",150,0.02,2048
14,1,266.0,0.03674869999999952,"[2, 4, 3, 3, 0, 1, 2, 4, 3, 4, 4, 2, 3, 4, 1, 4, 4, 4, 2, 0]",150,0.02,2048
15,2,284.0,0.07964639999999967,"[4, 4, 4, 3, 2, 3, 3, 3, 1, 0, 2, 3, 3, 4, 3, 4, 4, 0, 4, 2]",150,0.02,2048
16,4,294.0,0.15348519999999954,"[4, 4, 3, 2, 1, 3, 4, 4, 2, 3, 3, 4, 4, 4, 4, 2, 2, 0, 0, 3]",150,0.02,2048
17,8,310.0,0.26557479999999956,"[4, 4, 3, 2, 3, 3, 4, 4, 2, 1, 3, 4, 4, 4, 4, 4, 4, 0, 0, 3]",150,0.02,2048
18,16,335.0,0.4240510999999998,"[4, 4, 4, 2, 4, 3, 2, 4, 3, 4, 3, 4, 4, 4, 3, 0, 4, 4, 0, 4]",150,0.02,2048
19,32,348.0,0.7062077000000002,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.02,2048
20,64,348.0,1.3290911999999997,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.02,2048
21,128,348.0,2.8084118999999994,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.02,2048
22,256,348.0,4.914224299999999,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.02,2048
23,512,348.0,4.914224299999999,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.02,2048
24,1024,348.0,4.914224299999999,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.02,2048
25,2048,348.0,4.914224299999999,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.02,2048
26,0,157.0,0.009538899999999018,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",150,0.03,2048
27,1,266.0,0.03254150000000067,"[2, 4, 3, 3, 0, 1, 2, 4, 3, 4, 4, 2, 3, 4, 1, 4, 4, 4, 2, 0]",150,0.03,2048
28,2,286.0,0.07200629999999997,"[1, 4, 2, 2, 4, 3, 3, 3, 4, 1, 4, 3, 4, 3, 3, 3, 4, 2, 3, 4]",150,0.03,2048
29,4,297.0,0.1287818999999999,"[4, 3, 4, 0, 4, 1, 4, 1, 4, 3, 4, 4, 4, 4, 2, 3, 1, 4, 3, 1]",150,0.03,2048
30,8,311.0,0.2314202999999999,"[4, 4, 4, 4, 3, 3, 0, 4, 4, 4, 4, 3, 4, 4, 3, 0, 1, 2, 4, 3]",150,0.03,2048
31,16,330.0,0.4080905999999995,"[4, 4, 4, 1, 4, 4, 2, 4, 4, 4, 3, 4, 4, 4, 2, 0, 4, 0, 1, 3]",150,0.03,2048
32,32,346.0,0.7191606000000004,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
33,64,347.0,1.2717290000000006,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
34,128,347.0,2.4872329000000004,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
35,256,347.0,4.6421814,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
36,512,347.0,4.6421814,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
37,1024,347.0,4.6421814,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
38,2048,347.0,4.6421814,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
39,0,157.0,0.009304399999999546,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",150,0.1,2048
40,1,271.0,0.03481470000000009,"[0, 4, 4, 3, 1, 3, 3, 4, 4, 1, 2, 4, 4, 3, 3, 3, 1, 2, 4, 3]",150,0.1,2048
41,2,292.0,0.0883818999999999,"[1, 3, 4, 1, 1, 4, 3, 2, 4, 3, 4, 4, 4, 4, 4, 0, 3, 3, 4, 1]",150,0.1,2048
42,4,302.0,0.1571859,"[4, 4, 4, 3, 4, 4, 3, 2, 3, 1, 4, 3, 4, 3, 3, 2, 2, 2, 1, 3]",150,0.1,2048
43,8,318.0,0.2707259999999998,"[4, 4, 4, 2, 0, 3, 1, 2, 4, 4, 3, 4, 4, 4, 3, 4, 3, 2, 2, 3]",150,0.1,2048
