,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.006341999999989412,266.0,False,150,0.01,2048
1,1,0.22222789999997872,266.0,False,150,0.01,2048
2,2,0.48097889999999666,266.0,False,150,0.01,2048
3,3,0.744251399999996,266.0,False,150,0.01,2048
4,4,1.0382074999999986,266.0,False,150,0.01,2048
5,5,1.340602099999984,266.0,False,150,0.01,2048
6,6,1.5778135999999847,266.0,False,150,0.01,2048
7,7,1.8204711999999859,266.0,False,150,0.01,2048
8,8,2.052891499999987,266.0,False,150,0.01,2048
9,9,2.321074999999979,266.0,False,150,0.01,2048
10,10,2.5700743999999816,266.0,False,150,0.01,2048
11,11,2.82416809999998,266.0,False,150,0.01,2048
12,12,3.096156199999996,266.0,False,150,0.01,2048
13,13,3.3525459999999896,266.0,False,150,0.01,2048
14,14,3.6035460999999884,266.0,False,150,0.01,2048
15,15,3.848030699999981,266.0,False,150,0.01,2048
16,16,4.079237299999988,266.0,False,150,0.01,2048
17,17,4.333380699999992,266.0,False,150,0.01,2048
18,18,4.584618199999994,266.0,False,150,0.01,2048
19,19,4.827467499999983,266.0,False,150,0.01,2048
20,20,5.092029199999985,266.0,False,150,0.01,2048
21,21,5.329730499999982,266.0,False,150,0.01,2048
22,22,5.575716199999988,266.0,False,150,0.01,2048
23,23,5.7946158000000025,266.0,False,150,0.01,2048
24,24,6.041168900000002,266.0,False,150,0.01,2048
25,25,6.393759999999986,266.0,False,150,0.01,2048
26,26,6.648447699999991,266.0,False,150,0.01,2048
27,27,6.898222899999979,266.0,False,150,0.01,2048
28,28,7.158555899999982,266.0,False,150,0.01,2048
29,29,7.398625299999992,266.0,False,150,0.01,2048
30,30,7.612660699999992,266.0,False,150,0.01,2048
31,31,7.85142669999999,266.0,False,150,0.01,2048
32,32,8.100293899999997,266.0,False,150,0.01,2048
33,33,8.365960599999994,266.0,False,150,0.01,2048
34,34,8.583180699999986,266.0,False,150,0.01,2048
