,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,157.0,0.006341999999989412,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",False,150,0.01,2048
1,1,266.0,0.22222789999997872,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
2,2,266.0,0.48097889999999666,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
3,4,266.0,1.0382074999999986,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
4,8,266.0,2.052891499999987,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
5,16,266.0,4.079237299999988,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
6,32,266.0,8.100293899999997,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
7,64,266.0,16.4774137,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
8,128,266.0,31.488153899999986,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
9,256,266.0,48.73962639999999,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
