,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,157.0,0.0001935999999886917,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",geometric,1,0.99,0.001,0.9999980542568718,1,8192
1,1,157.0,0.0017852999999945496,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",geometric,1,0.99,0.001,0.999982057296373,1,8192
2,2,157.0,0.016785299999980907,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",geometric,1,0.99,0.001,0.9998313163262894,1,8192
3,4,159.0,0.030305599999991273,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 4, 1, 1]",geometric,1,0.99,0.001,0.9996954649219816,1,8192
4,8,181.0,0.04487050000000181,"[4, 0, 4, 4, 3, 3, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 4, 1, 1]",geometric,1,0.99,0.001,0.9995491380738839,1,8192
5,16,209.0,0.05749649999998496,"[4, 2, 4, 4, 3, 3, 1, 0, 2, 3, 4, 3, 2, 0, 1, 0, 2, 4, 1, 1]",geometric,1,0.99,0.001,0.9994223077930342,1,8192
6,32,243.0,0.07245069999999032,"[4, 2, 4, 4, 3, 4, 1, 3, 2, 3, 4, 3, 2, 0, 1, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9992721111718726,1,8192
7,64,304.0,0.08574129999999514,"[4, 2, 4, 4, 3, 4, 1, 4, 4, 4, 4, 3, 2, 4, 4, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9991386423201726,1,8192
8,128,304.0,0.10821759999998903,"[4, 2, 4, 4, 3, 4, 1, 4, 4, 4, 4, 3, 2, 4, 4, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9989129680225093,1,8192
9,256,304.0,0.13918659999998795,"[4, 2, 4, 4, 3, 4, 1, 4, 4, 4, 4, 3, 2, 4, 4, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9986021058891668,1,8192
10,512,304.0,0.15743309999999155,"[4, 2, 4, 4, 3, 4, 1, 4, 4, 4, 4, 3, 2, 4, 4, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9984189955768789,1,8192
11,1024,304.0,0.15743309999999155,"[4, 2, 4, 4, 3, 4, 1, 4, 4, 4, 4, 3, 2, 4, 4, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9984189955768789,1,8192
12,2048,304.0,0.15743309999999155,"[4, 2, 4, 4, 3, 4, 1, 4, 4, 4, 4, 3, 2, 4, 4, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9984189955768789,1,8192
13,4096,304.0,0.15743309999999155,"[4, 2, 4, 4, 3, 4, 1, 4, 4, 4, 4, 3, 2, 4, 4, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9984189955768789,1,8192
14,8192,304.0,0.15743309999999155,"[4, 2, 4, 4, 3, 4, 1, 4, 4, 4, 4, 3, 2, 4, 4, 0, 4, 4, 1, 4]",geometric,1,0.99,0.001,0.9984189955768789,1,8192
