,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0084768,5.0,150,0.01,2048
1,1,0.0288648,5.0,150,0.01,2048
2,2,0.062114,5.0,150,0.01,2048
3,3,0.09553640000000001,4.0,150,0.01,2048
4,4,0.11310250000000001,3.0,150,0.01,2048
5,5,0.1470583,3.0,150,0.01,2048
6,6,0.1653437,3.0,150,0.01,2048
7,7,0.19079390000000002,2.0,150,0.01,2048
8,8,0.21611,2.0,150,0.01,2048
9,9,0.24709230000000001,2.0,150,0.01,2048
10,10,0.2628795,2.0,150,0.01,2048
11,11,0.2805738,2.0,150,0.01,2048
12,12,0.3003818,2.0,150,0.01,2048
13,13,0.3264533,2.0,150,0.01,2048
14,14,0.3422633,1.0,150,0.01,2048
15,15,0.3587088,1.0,150,0.01,2048
16,16,0.3864047,1.0,150,0.01,2048
17,17,0.4180488,1.0,150,0.01,2048
18,18,0.43400829999999996,1.0,150,0.01,2048
19,19,0.4586818,1.0,150,0.01,2048
20,20,0.474294,1.0,150,0.01,2048
21,21,0.5005984,0.0,150,0.01,2048
22,22,0.5268878,5.0,150,0.02,2048
23,23,0.01438549999999994,5.0,150,0.02,2048
24,24,0.03982269999999999,4.0,150,0.02,2048
25,25,0.07328309999999993,4.0,150,0.02,2048
26,26,0.10512119999999991,3.0,150,0.02,2048
27,27,0.12148879999999995,3.0,150,0.02,2048
28,28,0.15380329999999998,3.0,150,0.02,2048
29,29,0.17023789999999994,3.0,150,0.02,2048
30,30,0.2019190999999999,1.0,150,0.02,2048
31,31,0.22631679999999998,1.0,150,0.02,2048
32,32,0.26927499999999993,1.0,150,0.02,2048
33,33,0.29142239999999997,1.0,150,0.02,2048
34,34,0.31818409999999997,1.0,150,0.02,2048
35,35,0.3361738999999999,1.0,150,0.02,2048
36,36,0.3604301,1.0,150,0.02,2048
37,37,0.37637599999999993,1.0,150,0.02,2048
38,38,0.3913179,0.0,150,0.02,2048
39,39,0.4114553999999999,5.0,150,0.03,2048
40,40,0.45335599999999987,4.0,150,0.03,2048
41,41,0.014660000000000117,4.0,150,0.03,2048
42,42,0.03827950000000002,4.0,150,0.03,2048
43,43,0.06993340000000003,4.0,150,0.03,2048
44,44,0.10465720000000012,4.0,150,0.03,2048
45,45,0.12607420000000014,3.0,150,0.03,2048
46,46,0.16735300000000009,3.0,150,0.03,2048
47,47,0.18648600000000015,3.0,150,0.03,2048
48,48,0.20193850000000002,3.0,150,0.03,2048
49,49,0.2174391,2.0,150,0.03,2048
50,50,0.26243760000000016,2.0,150,0.03,2048
51,51,0.28922020000000015,2.0,150,0.03,2048
52,52,0.3063001000000001,2.0,150,0.03,2048
53,53,0.32315510000000014,2.0,150,0.03,2048
54,54,0.3384921000000001,2.0,150,0.03,2048
55,55,0.3541641,2.0,150,0.03,2048
56,56,0.36959340000000007,2.0,150,0.03,2048
57,57,0.38506379999999996,1.0,150,0.03,2048
58,58,0.42756740000000004,1.0,150,0.03,2048
59,59,0.44261269999999997,1.0,150,0.03,2048
60,60,0.4583157,1.0,150,0.03,2048
61,61,0.47403799999999996,1.0,150,0.03,2048
62,62,0.48976770000000003,1.0,150,0.03,2048
63,63,0.5054789,1.0,150,0.03,2048
64,64,0.5207840000000001,0.0,150,0.03,2048
65,65,0.536702,5.0,150,0.1,2048
66,66,0.5518543,4.0,150,0.1,2048
67,67,0.5667217,2.0,150,0.1,2048
68,68,0.007996399999999904,2.0,150,0.1,2048
69,69,0.02898619999999985,2.0,150,0.1,2048
70,70,0.06502989999999986,2.0,150,0.1,2048
71,71,0.10176129999999994,2.0,150,0.1,2048
72,72,0.12444900000000003,2.0,150,0.1,2048
73,73,0.16474729999999993,2.0,150,0.1,2048
74,74,0.18070339999999985,2.0,150,0.1,2048
75,75,0.21997129999999987,2.0,150,0.1,2048
76,76,0.2372634,2.0,150,0.1,2048
77,77,0.2706263,2.0,150,0.1,2048
78,78,0.2896509999999999,1.0,150,0.1,2048
79,79,0.30836019999999986,1.0,150,0.1,2048
80,80,0.32755369999999995,1.0,150,0.1,2048
81,81,0.34756180000000003,1.0,150,0.1,2048
82,82,0.3674427,1.0,150,0.1,2048
83,83,0.39034899999999983,1.0,150,0.1,2048
84,84,0.4108129999999999,1.0,150,0.1,2048
85,85,0.44168719999999984,1.0,150,0.1,2048
86,86,0.4567338000000001,1.0,150,0.1,2048
87,87,0.47197160000000005,1.0,150,0.1,2048
88,88,0.4875969,0.0,150,0.1,2048
89,89,0.5040135999999997,3.0,150,0.2,2048
90,90,0.5196086,2.0,150,0.2,2048
91,91,0.5371276999999999,2.0,150,0.2,2048
92,92,0.5568642999999998,2.0,150,0.2,2048
93,93,0.00800069999999975,2.0,150,0.2,2048
94,94,0.03434230000000005,2.0,150,0.2,2048
95,95,0.06728800000000001,2.0,150,0.2,2048
96,96,0.09857669999999974,2.0,150,0.2,2048
97,97,0.12554169999999987,2.0,150,0.2,2048
98,98,0.17175169999999973,2.0,150,0.2,2048
99,99,0.19618380000000002,2.0,150,0.2,2048
100,100,0.2244459000000001,2.0,150,0.2,2048
101,101,0.2448636999999998,2.0,150,0.2,2048
102,102,0.28067719999999996,2.0,150,0.2,2048
