,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,15.0,0.0084768,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",150,0.01,2048
1,1,5.0,0.0288648,"[0, 0, 1, 0, 1, 2, 0, 3, 3, 0, 2, 2, 1, 3, 1, 1, 2, 1, 1, 3]",150,0.01,2048
2,2,5.0,0.062114,"[0, 0, 1, 0, 1, 2, 0, 3, 3, 0, 2, 2, 1, 3, 1, 1, 2, 1, 1, 3]",150,0.01,2048
3,4,4.0,0.11310250000000001,"[0, 1, 3, 0, 2, 1, 2, 1, 3, 2, 3, 3, 0, 0, 3, 3, 0, 0, 3, 2]",150,0.01,2048
4,8,2.0,0.21611,"[1, 3, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 1, 2, 2, 1, 1, 2, 2]",150,0.01,2048
5,16,1.0,0.3864047,"[0, 3, 2, 2, 0, 0, 0, 3, 3, 0, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3]",150,0.01,2048
6,32,0.0,0.5268878,"[1, 3, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 3]",150,0.01,2048
7,64,0.0,0.5268878,"[1, 3, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 3]",150,0.01,2048
8,128,0.0,0.5268878,"[1, 3, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 3]",150,0.01,2048
9,256,0.0,0.5268878,"[1, 3, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 3]",150,0.01,2048
10,512,0.0,0.5268878,"[1, 3, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 3]",150,0.01,2048
11,1024,0.0,0.5268878,"[1, 3, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 3]",150,0.01,2048
12,2048,0.0,0.5268878,"[1, 3, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 3]",150,0.01,2048
13,0,15.0,0.01438549999999994,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",150,0.02,2048
14,1,5.0,0.03982269999999999,"[1, 0, 3, 0, 2, 2, 2, 3, 3, 2, 3, 3, 3, 0, 3, 3, 1, 0, 3, 0]",150,0.02,2048
15,2,5.0,0.07328309999999993,"[1, 0, 3, 0, 2, 2, 2, 3, 3, 2, 3, 3, 3, 0, 3, 3, 1, 0, 3, 0]",150,0.02,2048
16,4,4.0,0.12148879999999995,"[2, 3, 3, 0, 2, 2, 2, 1, 3, 2, 1, 3, 0, 0, 3, 3, 1, 2, 3, 0]",150,0.02,2048
17,8,3.0,0.22631679999999998,"[2, 3, 3, 0, 2, 2, 2, 1, 3, 2, 1, 3, 0, 0, 3, 3, 1, 1, 3, 0]",150,0.02,2048
18,16,1.0,0.4114553999999999,"[3, 2, 3, 3, 2, 0, 2, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3]",150,0.02,2048
19,32,0.0,0.45335599999999987,"[1, 2, 3, 0, 2, 0, 2, 0, 2, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3]",150,0.02,2048
20,64,0.0,0.45335599999999987,"[1, 2, 3, 0, 2, 0, 2, 0, 2, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3]",150,0.02,2048
21,128,0.0,0.45335599999999987,"[1, 2, 3, 0, 2, 0, 2, 0, 2, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3]",150,0.02,2048
22,256,0.0,0.45335599999999987,"[1, 2, 3, 0, 2, 0, 2, 0, 2, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3]",150,0.02,2048
23,512,0.0,0.45335599999999987,"[1, 2, 3, 0, 2, 0, 2, 0, 2, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3]",150,0.02,2048
24,1024,0.0,0.45335599999999987,"[1, 2, 3, 0, 2, 0, 2, 0, 2, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3]",150,0.02,2048
