,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.007644899999998955,5.0,False,150,0.01,2048
1,1,0.2026022999999988,5.0,False,150,0.01,2048
2,2,0.4343375000000016,5.0,False,150,0.01,2048
3,3,0.6673861000000016,5.0,False,150,0.01,2048
4,4,0.8810940999999985,5.0,False,150,0.01,2048
5,5,1.0882070000000006,5.0,False,150,0.01,2048
6,6,1.3482993000000008,5.0,False,150,0.01,2048
7,7,1.6533228999999992,5.0,False,150,0.01,2048
8,8,1.8641596000000007,5.0,False,150,0.01,2048
9,9,2.1056357000000006,5.0,False,150,0.01,2048
10,10,2.307099300000001,5.0,False,150,0.01,2048
11,11,2.498179499999999,5.0,False,150,0.01,2048
12,12,2.731680700000002,5.0,False,150,0.01,2048
13,13,2.9555808,5.0,False,150,0.01,2048
14,14,3.174711600000002,5.0,False,150,0.01,2048
15,15,3.3799949999999974,5.0,False,150,0.01,2048
16,16,3.5926537999999972,5.0,False,150,0.01,2048
17,17,3.7866238999999986,5.0,False,150,0.01,2048
18,18,4.0024935999999975,5.0,False,150,0.01,2048
19,19,4.252600900000001,5.0,False,150,0.01,2048
20,20,4.513435400000002,5.0,False,150,0.01,2048
21,21,4.7505612999999975,5.0,False,150,0.01,2048
22,22,4.955624400000001,5.0,False,150,0.01,2048
23,23,5.163070399999999,5.0,False,150,0.01,2048
24,24,5.364090999999998,5.0,False,150,0.01,2048
25,25,5.5828238999999975,5.0,False,150,0.01,2048
26,26,5.772267299999999,5.0,False,150,0.01,2048
27,27,5.989921800000001,5.0,False,150,0.01,2048
28,28,6.164792600000002,5.0,False,150,0.01,2048
29,29,6.364402600000002,5.0,False,150,0.01,2048
30,30,6.5689606000000005,5.0,False,150,0.01,2048
31,31,6.811330100000003,5.0,False,150,0.01,2048
32,32,7.0440772,5.0,False,150,0.01,2048
33,33,7.3430896000000025,5.0,False,150,0.01,2048
34,34,7.661491000000002,5.0,False,150,0.01,2048
35,35,7.908009699999997,5.0,False,150,0.01,2048
36,36,8.1329101,5.0,False,150,0.01,2048
37,37,8.363472599999998,5.0,False,150,0.01,2048
38,38,8.582572199999998,5.0,False,150,0.01,2048
39,39,8.781576599999998,5.0,False,150,0.01,2048
40,40,8.979811000000002,5.0,False,150,0.01,2048
41,41,9.183727899999997,5.0,False,150,0.01,2048
42,42,9.386914200000003,5.0,False,150,0.01,2048
43,43,9.6358274,5.0,False,150,0.01,2048
44,44,9.891550900000002,5.0,False,150,0.01,2048
45,45,10.136572599999997,5.0,False,150,0.01,2048
46,46,10.347120700000001,5.0,False,150,0.01,2048
47,47,10.622319999999998,5.0,False,150,0.01,2048
48,48,10.830789300000003,5.0,False,150,0.01,2048
49,49,11.052490299999999,5.0,False,150,0.01,2048
50,50,11.258275899999997,5.0,False,150,0.01,2048
51,51,11.510333800000002,5.0,False,150,0.01,2048
52,52,11.744271100000002,5.0,False,150,0.01,2048
53,53,11.960970999999997,5.0,False,150,0.01,2048
54,54,12.185287200000001,5.0,False,150,0.01,2048
55,55,12.4045989,5.0,False,150,0.01,2048
56,56,12.640231400000001,5.0,False,150,0.01,2048
57,57,12.835604300000004,5.0,False,150,0.01,2048
58,58,13.034923700000004,5.0,False,150,0.01,2048
59,59,13.2916931,5.0,False,150,0.01,2048
60,60,13.5285987,5.0,False,150,0.01,2048
61,61,13.771628000000003,5.0,False,150,0.01,2048
62,62,14.002809600000003,5.0,False,150,0.01,2048
63,63,14.1987925,5.0,False,150,0.01,2048
64,64,14.413138900000003,5.0,False,150,0.01,2048
65,65,14.6849563,5.0,False,150,0.01,2048
66,66,14.927982500000002,5.0,False,150,0.01,2048
67,67,15.200024799999998,5.0,False,150,0.01,2048
68,68,15.405303900000003,5.0,False,150,0.01,2048
69,69,15.592392399999998,5.0,False,150,0.01,2048
70,70,15.809585899999998,5.0,False,150,0.01,2048
71,71,16.0085654,5.0,False,150,0.01,2048
72,72,16.219855499999998,5.0,False,150,0.01,2048
73,73,16.431952499999998,5.0,False,150,0.01,2048
