,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,15.0,0.0001303999999890948,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",25,2048,0
1,1,15.0,0.0014565000000175132,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",25,2048,0
2,2,15.0,0.014556700000071032,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",25,2048,0
3,4,13.0,0.02557569999999032,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 2, 0, 0, 3, 3, 0, 3]",25,2048,0
4,8,9.0,0.04221770000003744,"[0, 2, 1, 2, 3, 0, 3, 3, 3, 2, 0, 1, 1, 2, 0, 0, 3, 0, 0, 3]",25,2048,0
5,16,7.0,0.05514579999999114,"[0, 2, 1, 2, 2, 3, 3, 3, 3, 2, 0, 1, 1, 2, 0, 0, 3, 0, 0, 3]",25,2048,0
6,32,3.0,0.07161919999998645,"[0, 2, 1, 2, 2, 3, 3, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 3]",25,2048,0
7,64,2.0,0.09372730000006868,"[0, 2, 1, 2, 2, 3, 3, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1]",25,2048,0
8,128,1.0,0.11033520000000863,"[0, 2, 1, 2, 2, 3, 2, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1]",25,2048,0
9,256,0.0,0.13820770000006632,"[0, 3, 1, 2, 2, 3, 2, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1]",25,2048,0
10,512,0.0,0.13820770000006632,"[0, 3, 1, 2, 2, 3, 2, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1]",25,2048,0
11,1024,0.0,0.13820770000006632,"[0, 3, 1, 2, 2, 3, 2, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1]",25,2048,0
12,2048,0.0,0.13820770000006632,"[0, 3, 1, 2, 2, 3, 2, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1]",25,2048,0
13,0,15.0,0.00016640000001189037,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",75,2048,0
14,1,15.0,0.0013284999999996217,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",75,2048,0
15,2,15.0,0.018437400000038906,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",75,2048,0
16,4,13.0,0.030442999999991116,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 2, 0, 0, 3, 3, 0, 3]",75,2048,0
17,8,9.0,0.04368950000002769,"[0, 2, 1, 2, 3, 0, 3, 3, 3, 2, 0, 1, 1, 2, 0, 0, 3, 0, 0, 3]",75,2048,0
18,16,7.0,0.05765889999997853,"[0, 2, 1, 2, 2, 3, 3, 3, 3, 2, 0, 1, 1, 2, 0, 0, 3, 0, 0, 3]",75,2048,0
19,32,3.0,0.07596390000003339,"[0, 2, 1, 2, 2, 3, 3, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 3]",75,2048,0
20,64,2.0,0.09551490000001195,"[0, 2, 1, 2, 2, 3, 3, 3, 3, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1]",75,2048,0
