,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00011970000002747838,15.0,1,8192
1,1,0.00151729999993222,13.0,1,8192
2,2,0.014939599999934217,13.0,1,8192
3,3,0.02585399999998117,10.0,1,8192
4,4,0.026082599999995182,10.0,1,8192
5,5,0.039214199999946686,10.0,1,8192
6,6,0.0394395999999233,10.0,1,8192
7,7,0.0395942999999761,10.0,1,8192
8,8,0.03980869999998049,9.0,1,8192
9,9,0.05239599999993061,9.0,1,8192
10,10,0.0525623999999425,9.0,1,8192
11,11,0.052780600000005506,8.0,1,8192
12,12,0.0529894000000013,8.0,1,8192
13,13,0.05319350000002032,8.0,1,8192
14,14,0.05340209999997114,8.0,1,8192
15,15,0.0535443999999643,8.0,1,8192
16,16,0.05368999999996049,8.0,1,8192
17,17,0.06688489999999092,8.0,1,8192
18,18,0.06705239999996593,8.0,1,8192
19,19,0.0672025000000076,8.0,1,8192
20,20,0.06740560000002915,7.0,1,8192
21,21,0.06761389999996936,7.0,1,8192
22,22,0.06776660000002721,7.0,1,8192
23,23,0.06791809999992893,7.0,1,8192
24,24,0.06812270000000353,7.0,1,8192
25,25,0.06826730000000225,6.0,1,8192
26,26,0.06846749999999702,6.0,1,8192
27,27,0.06860840000001645,6.0,1,8192
28,28,0.06882399999994959,6.0,1,8192
29,29,0.06897119999996448,6.0,1,8192
30,30,0.06911000000002332,6.0,1,8192
31,31,0.06932449999999335,6.0,1,8192
32,32,0.06946389999995972,6.0,1,8192
33,33,0.08091479999995954,6.0,1,8192
34,34,0.0810758000000078,7.0,1,8192
35,35,0.0812909999999647,7.0,1,8192
36,36,0.08143649999999525,5.0,1,8192
37,37,0.08164079999994556,5.0,1,8192
38,38,0.08179209999991599,5.0,1,8192
39,39,0.08200690000001032,5.0,1,8192
40,40,0.08222449999993842,5.0,1,8192
41,41,0.08236799999997402,3.0,1,8192
42,42,0.08257589999993797,3.0,1,8192
43,43,0.08279440000001159,3.0,1,8192
44,44,0.08294200000000274,3.0,1,8192
45,45,0.08316149999996014,3.0,1,8192
46,46,0.08332849999999326,3.0,1,8192
47,47,0.08348939999996219,3.0,1,8192
48,48,0.0837184999999181,3.0,1,8192
49,49,0.0839551000000256,5.0,1,8192
50,50,0.08417799999995168,5.0,1,8192
51,51,0.08432619999996405,4.0,1,8192
52,52,0.08452920000001996,5.0,1,8192
53,53,0.08474979999994048,4.0,1,8192
54,54,0.08494940000002771,4.0,1,8192
55,55,0.08516389999999774,4.0,1,8192
56,56,0.08531010000001515,4.0,1,8192
57,57,0.08545909999998003,4.0,1,8192
58,58,0.08567489999995814,4.0,1,8192
59,59,0.08582769999998163,4.0,1,8192
60,60,0.08598169999993388,4.0,1,8192
61,61,0.08612759999994068,4.0,1,8192
62,62,0.08626839999999447,4.0,1,8192
63,63,0.08648199999993267,4.0,1,8192
64,64,0.08668829999999161,4.0,1,8192
65,65,0.1008431999999857,4.0,1,8192
66,66,0.1009450999999899,5.0,1,8192
67,67,0.10107319999997344,5.0,1,8192
68,68,0.10116089999996802,5.0,1,8192
69,69,0.10128520000000663,6.0,1,8192
70,70,0.10140089999993052,6.0,1,8192
71,71,0.10148870000000443,6.0,1,8192
72,72,0.10160499999994954,6.0,1,8192
73,73,0.10175029999993512,6.0,1,8192
74,74,0.10185149999995247,6.0,1,8192
75,75,0.1020095000000083,6.0,1,8192
76,76,0.10210110000002715,6.0,1,8192
77,77,0.10219080000001668,6.0,1,8192
78,78,0.10227599999996073,5.0,1,8192
79,79,0.10239679999995133,5.0,1,8192
80,80,0.10248400000000402,5.0,1,8192
81,81,0.1026052999999365,5.0,1,8192
82,82,0.10269129999994675,5.0,1,8192
83,83,0.10285290000001623,6.0,1,8192
84,84,0.10303979999991952,6.0,1,8192
85,85,0.1031646000000137,6.0,1,8192
86,86,0.10328770000000986,6.0,1,8192
87,87,0.10341240000002472,6.0,1,8192
88,88,0.10360769999999775,6.0,1,8192
89,89,0.10381740000002537,7.0,1,8192
90,90,0.10396379999997407,8.0,1,8192
91,91,0.10408969999991768,8.0,1,8192
92,92,0.10420739999995021,7.0,1,8192
93,93,0.10432730000002266,7.0,1,8192
94,94,0.10441240000000107,7.0,1,8192
95,95,0.10450119999995877,7.0,1,8192
96,96,0.10458649999998215,7.0,1,8192
97,97,0.10467369999992115,7.0,1,8192
98,98,0.10476870000002236,7.0,1,8192
99,99,0.10485929999993004,7.0,1,8192
100,100,0.1049431999999797,7.0,1,8192
101,101,0.10506579999992027,7.0,1,8192
102,102,0.10515249999991738,7.0,1,8192
103,103,0.10524099999997816,7.0,1,8192
104,104,0.10535849999996572,7.0,1,8192
105,105,0.10544700000002649,7.0,1,8192
106,106,0.1055648999999903,8.0,1,8192
107,107,0.10569109999994453,8.0,1,8192
108,108,0.10583819999999378,6.0,1,8192
109,109,0.1060235999999577,4.0,1,8192
110,110,0.10619850000000497,4.0,1,8192
111,111,0.10632490000000416,4.0,1,8192
112,112,0.10644919999992908,4.0,1,8192
113,113,0.10663460000000669,4.0,1,8192
114,114,0.10675279999998111,4.0,1,8192
115,115,0.10691709999991872,3.0,1,8192
116,116,0.10703939999996237,3.0,1,8192
117,117,0.1071282999999994,3.0,1,8192
118,118,0.1072154999999384,3.0,1,8192
119,119,0.1073030000000017,2.0,1,8192
120,120,0.10741519999999127,2.0,1,8192
121,121,0.10750389999998333,2.0,1,8192
122,122,0.10762209999995775,2.0,1,8192
123,123,0.10776699999996708,2.0,1,8192
124,124,0.10785889999999654,2.0,1,8192
125,125,0.10794969999994919,2.0,1,8192
126,126,0.10806660000002921,2.0,1,8192
127,127,0.10815939999997681,2.0,1,8192
128,128,0.10827879999999368,2.0,1,8192
129,129,0.1208831999999802,2.0,1,8192
130,130,0.12112789999991946,2.0,1,8192
131,131,0.12128699999993842,2.0,1,8192
132,132,0.12150869999993574,2.0,1,8192
133,133,0.1216577000000143,2.0,1,8192
134,134,0.12183440000001156,2.0,1,8192
135,135,0.12199060000000372,2.0,1,8192
136,136,0.1221451999999772,2.0,1,8192
137,137,0.12229649999994763,2.0,1,8192
138,138,0.12250919999996768,2.0,1,8192
139,139,0.12274459999991905,2.0,1,8192
140,140,0.12291210000000774,2.0,1,8192
141,141,0.12306869999997616,2.0,1,8192
142,142,0.12322259999996277,2.0,1,8192
143,143,0.12338390000002164,2.0,1,8192
144,144,0.12360649999993711,2.0,1,8192
145,145,0.123781699999995,2.0,1,8192
146,146,0.1239392999999609,2.0,1,8192
147,147,0.12415390000001025,2.0,1,8192
148,148,0.12431659999992917,2.0,1,8192
149,149,0.12447309999993195,2.0,1,8192
150,150,0.1246277000000191,2.0,1,8192
151,151,0.12485309999999572,2.0,1,8192
152,152,0.1250843000000259,2.0,1,8192
153,153,0.1252395000000206,2.0,1,8192
154,154,0.12539540000000216,2.0,1,8192
155,155,0.12560629999995854,2.0,1,8192
156,156,0.12578929999995125,2.0,1,8192
157,157,0.12594669999998587,2.0,1,8192
158,158,0.126103100000023,2.0,1,8192
159,159,0.12625579999996717,2.0,1,8192
160,160,0.12640999999996438,2.0,1,8192
161,161,0.12656870000000708,2.0,1,8192
162,162,0.12674189999995633,2.0,1,8192
163,163,0.12684879999994791,2.0,1,8192
164,164,0.1269416000000092,2.0,1,8192
165,165,0.12706309999998666,2.0,1,8192
166,166,0.12715570000000298,2.0,1,8192
167,167,0.12724419999995007,2.0,1,8192
168,168,0.12737029999993865,2.0,1,8192
169,169,0.12745859999995446,2.0,1,8192
170,170,0.12754789999996774,1.0,1,8192
171,171,0.12766229999999723,1.0,1,8192
172,172,0.12780029999998987,1.0,1,8192
173,173,0.12799069999994117,1.0,1,8192
174,174,0.12812469999994391,1.0,1,8192
175,175,0.12831410000001142,1.0,1,8192
176,176,0.12844729999994797,1.0,1,8192
