,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,15.0,0.00011970000002747838,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",geometric,1,0.99,0.001,0.9999987969755217,1,8192
1,1,15.0,0.00151729999993222,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 3, 0, 3, 3, 0, 3]",geometric,1,0.99,0.001,0.9999847507416812,1,8192
2,2,13.0,0.014939599999934217,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 2, 3, 0, 3, 3, 0, 3]",geometric,1,0.99,0.001,0.9998498632741302,1,8192
3,4,10.0,0.026082599999995182,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 2, 3, 0, 3, 0, 0, 3]",geometric,1,0.99,0.001,0.9997378954654643,1,8192
4,8,10.0,0.03980869999998049,"[0, 1, 1, 3, 3, 0, 3, 3, 3, 2, 0, 1, 1, 2, 3, 0, 3, 0, 0, 3]",geometric,1,0.99,0.001,0.9995999892207621,1,8192
5,16,8.0,0.05368999999996049,"[0, 1, 0, 3, 3, 3, 3, 3, 0, 2, 0, 1, 1, 2, 0, 0, 3, 0, 0, 3]",geometric,1,0.99,0.001,0.9994605430272896,1,8192
6,32,6.0,0.06946389999995972,"[0, 2, 0, 3, 2, 1, 1, 3, 0, 2, 0, 1, 1, 2, 0, 0, 2, 1, 0, 3]",geometric,1,0.99,0.001,0.9993021081152106,1,8192
7,64,4.0,0.08668829999999161,"[0, 2, 0, 1, 1, 1, 3, 2, 3, 3, 0, 0, 0, 2, 1, 0, 2, 1, 3, 3]",geometric,1,0.99,0.001,0.9991291328954898,1,8192
8,128,2.0,0.10827879999999368,"[0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 0, 2, 0, 3, 1, 0, 2, 2, 2, 3]",geometric,1,0.99,0.001,0.9989123536107561,1,8192
9,256,0.0,0.13040049999995063,"[2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 2, 2, 3, 1, 2, 3, 2, 2, 3]",geometric,1,0.99,0.001,0.9986902895998053,1,8192
10,512,0.0,0.13040049999995063,"[2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 2, 2, 3, 1, 2, 3, 2, 2, 3]",geometric,1,0.99,0.001,0.9986902895998053,1,8192
11,1024,0.0,0.13040049999995063,"[2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 2, 2, 3, 1, 2, 3, 2, 2, 3]",geometric,1,0.99,0.001,0.9986902895998053,1,8192
12,2048,0.0,0.13040049999995063,"[2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 2, 2, 3, 1, 2, 3, 2, 2, 3]",geometric,1,0.99,0.001,0.9986902895998053,1,8192
13,4096,0.0,0.13040049999995063,"[2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 2, 2, 3, 1, 2, 3, 2, 2, 3]",geometric,1,0.99,0.001,0.9986902895998053,1,8192
14,8192,0.0,0.13040049999995063,"[2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 2, 2, 3, 1, 2, 3, 2, 2, 3]",geometric,1,0.99,0.001,0.9986902895998053,1,8192
15,0,15.0,0.00018999999997504347,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",geometric,10,0.99,0.001,9.999980904380113,10,8192
16,1,15.0,0.0036411999999472755,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 3, 0, 3, 3, 0, 3]",geometric,10,0.99,0.001,9.999634053866899,10,8192
