,Iteration,Time,Fitness,activation,hidden_layer_sizes
0,0,8.58000000008019e-05,0.9891070654347568,tanh,"(10, 10, 10)"
1,1,0.10059329999999989,0.9891070654347568,tanh,"(10, 10, 10)"
2,2,0.18191389999999785,0.9163631474288778,tanh,"(10, 10, 10)"
3,3,0.23313389999999856,0.9002426970853882,tanh,"(10, 10, 10)"
4,4,0.2842497999999978,0.8942991378247731,tanh,"(10, 10, 10)"
5,5,0.3372056999999984,0.8905001182858673,tanh,"(10, 10, 10)"
6,6,0.409359000000002,0.887189456739277,tanh,"(10, 10, 10)"
7,7,0.4687933000000015,0.8847172977345255,tanh,"(10, 10, 10)"
8,8,0.5483825999999965,0.8822556551737638,tanh,"(10, 10, 10)"
9,9,0.6204777999999962,0.8797995911527626,tanh,"(10, 10, 10)"
10,10,0.6862500000000011,0.8782993132045424,tanh,"(10, 10, 10)"
11,11,0.7602045000000004,0.8768512306959736,tanh,"(10, 10, 10)"
12,12,0.8329554999999971,0.875398443686901,tanh,"(10, 10, 10)"
13,13,0.9042403999999991,0.8744473425583581,tanh,"(10, 10, 10)"
14,14,0.9792977999999977,0.8722260712604446,tanh,"(10, 10, 10)"
15,15,1.0623183000000012,0.8715744877998771,tanh,"(10, 10, 10)"
16,16,1.1416405000000012,0.870220837054815,tanh,"(10, 10, 10)"
17,17,1.1934120000000021,0.868793136251453,tanh,"(10, 10, 10)"
18,18,1.244909700000001,0.8673074360831858,tanh,"(10, 10, 10)"
19,19,1.2959458999999995,0.8666712031705001,tanh,"(10, 10, 10)"
20,20,1.346746699999997,0.8654249079440682,tanh,"(10, 10, 10)"
21,21,1.4228115999999957,0.8641131773810953,tanh,"(10, 10, 10)"
22,22,1.5736301000000026,0.8628339286257681,tanh,"(10, 10, 10)"
23,23,1.6851091999999994,0.8630681593962024,tanh,"(10, 10, 10)"
24,24,1.7548190999999989,0.8613342475369209,tanh,"(10, 10, 10)"
25,25,1.8176289999999966,0.8599185797328429,tanh,"(10, 10, 10)"
26,26,1.8824013999999991,0.8590324375226241,tanh,"(10, 10, 10)"
27,27,1.9329116999999982,0.8585962906188027,tanh,"(10, 10, 10)"
