,Iteration,Fitness,Time,State,activation,hidden_layer_sizes
0,0,1.0,8.58000000008019e-05,,tanh,"(10, 10, 10)"
1,1,1.3417477223642371,0.10059329999999989,,tanh,"(10, 10, 10)"
2,10,0.8797995911527626,0.6862500000000011,,tanh,"(10, 10, 10)"
3,50,0.8472321880286252,3.9296883000000022,,tanh,"(10, 10, 10)"
4,100,0.8374338126590384,7.2398922,,tanh,"(10, 10, 10)"
5,250,0.828466408645445,13.7364691,,tanh,"(10, 10, 10)"
6,500,0.828466408645445,13.7364691,,tanh,"(10, 10, 10)"
7,1000,0.828466408645445,13.7364691,,tanh,"(10, 10, 10)"
8,2500,0.828466408645445,13.7364691,,tanh,"(10, 10, 10)"
9,5000,0.828466408645445,13.7364691,,tanh,"(10, 10, 10)"
10,10000,0.828466408645445,13.7364691,,tanh,"(10, 10, 10)"
