,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,2618.694981745689,0.00018049999994218524,"[17, 14, 11, 12, 10, 2, 18, 9, 20, 3, 15, 8, 1, 19, 5, 0, 6, 7, 16, 13, 4]",25,2048,0
1,1,2618.694981745689,0.0011443999999301013,"[17, 14, 11, 12, 10, 2, 18, 9, 20, 3, 15, 8, 1, 19, 5, 0, 6, 7, 16, 13, 4]",25,2048,0
2,2,2768.847531537516,0.06481479999979456,"[17, 14, 11, 12, 9, 2, 18, 10, 20, 3, 15, 8, 1, 19, 5, 0, 6, 7, 16, 13, 4]",25,2048,0
3,4,2786.5493988766166,0.0737416999998004,"[17, 14, 11, 12, 9, 2, 18, 10, 20, 3, 15, 8, 1, 19, 5, 7, 6, 0, 16, 13, 4]",25,2048,0
4,8,2913.238162664673,0.08322169999996731,"[17, 14, 11, 12, 9, 2, 18, 10, 20, 3, 15, 8, 1, 19, 5, 7, 6, 13, 16, 0, 4]",25,2048,0
5,16,2953.8660878091255,0.09377969999991365,"[17, 14, 10, 12, 9, 2, 18, 19, 20, 3, 15, 8, 1, 11, 5, 7, 6, 13, 16, 0, 4]",25,2048,0
6,32,3355.603426716468,0.10424789999979112,"[17, 14, 10, 13, 9, 16, 2, 19, 20, 3, 15, 8, 1, 6, 5, 7, 11, 12, 18, 0, 4]",25,2048,0
7,64,3662.0006874298615,0.11760159999994357,"[15, 14, 10, 13, 18, 16, 17, 19, 20, 0, 2, 5, 1, 6, 8, 7, 11, 12, 9, 3, 4]",25,2048,0
8,128,3689.718538875626,0.1350655999999617,"[15, 14, 10, 13, 2, 16, 17, 19, 20, 0, 4, 5, 1, 6, 18, 7, 11, 12, 9, 3, 8]",25,2048,0
9,256,3853.443364551254,0.16165989999990416,"[6, 18, 10, 9, 17, 1, 13, 16, 20, 7, 14, 15, 19, 5, 2, 3, 11, 12, 8, 0, 4]",25,2048,0
10,512,3895.1353276005752,0.2059700999998313,"[0, 18, 6, 9, 5, 1, 13, 16, 20, 7, 14, 15, 19, 17, 4, 3, 11, 12, 8, 10, 2]",25,2048,0
11,1024,3895.1353276005752,0.22669279999990977,"[0, 18, 6, 9, 5, 1, 13, 16, 20, 7, 14, 15, 19, 17, 4, 3, 11, 12, 8, 10, 2]",25,2048,0
12,2048,3895.1353276005752,0.22669279999990977,"[0, 18, 6, 9, 5, 1, 13, 16, 20, 7, 14, 15, 19, 17, 4, 3, 11, 12, 8, 10, 2]",25,2048,0
13,0,2746.3338162538957,0.24182519999999386,"[16, 7, 3, 18, 8, 10, 12, 6, 20, 1, 4, 14, 11, 19, 17, 13, 2, 15, 9, 0, 5]",25,2048,1
14,1,2819.3884000760604,0.2428341999998338,"[19, 7, 3, 18, 8, 10, 12, 6, 20, 1, 4, 14, 11, 16, 17, 13, 2, 15, 9, 0, 5]",25,2048,1
15,2,2819.3884000760604,0.25707729999999174,"[19, 7, 3, 18, 8, 10, 12, 6, 20, 1, 4, 14, 11, 16, 17, 13, 2, 15, 9, 0, 5]",25,2048,1
16,4,3024.224168072008,0.27199069999983294,"[19, 17, 3, 18, 8, 10, 20, 6, 12, 1, 4, 14, 11, 16, 7, 13, 2, 15, 9, 0, 5]",25,2048,1
17,8,3144.692905320002,0.2873101999998653,"[19, 4, 0, 18, 16, 10, 20, 6, 12, 1, 17, 14, 11, 8, 7, 13, 2, 15, 9, 3, 5]",25,2048,1
18,16,3193.3075385090187,0.3031482999999753,"[16, 4, 0, 18, 19, 10, 20, 6, 12, 1, 17, 14, 11, 8, 7, 13, 2, 15, 9, 3, 5]",25,2048,1
19,32,3363.8057107258837,0.3201033999998799,"[16, 4, 0, 18, 19, 10, 11, 3, 12, 1, 17, 14, 20, 8, 7, 13, 2, 15, 9, 6, 5]",25,2048,1
