,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,3206.1967311383332,0.00013080000007903436,"[9, 11, 24, 21, 12, 10, 15, 1, 23, 5, 2, 22, 14, 25, 3, 18, 8, 17, 0, 6, 19, 7, 20, 16, 13, 4]",geometric,10,0.99,0.001,9.999986854169336,10,8192
1,1,3206.1967311383332,0.001103999999941152,"[9, 11, 24, 21, 12, 10, 15, 1, 23, 5, 2, 22, 14, 25, 3, 18, 8, 17, 0, 6, 19, 7, 20, 16, 13, 4]",geometric,10,0.99,0.001,9.99988904490774,10,8192
2,2,3544.5533790208365,0.013855900000180554,"[9, 11, 24, 21, 4, 10, 15, 1, 23, 5, 2, 22, 14, 25, 3, 18, 8, 17, 0, 6, 19, 7, 20, 16, 13, 12]",geometric,10,0.99,0.001,9.998607532471748,10,8192
3,4,3597.164893576521,0.02356450000024779,"[9, 11, 3, 21, 4, 10, 15, 1, 23, 5, 2, 22, 14, 25, 24, 18, 8, 17, 0, 6, 19, 7, 20, 16, 13, 12]",geometric,10,0.99,0.001,9.997631969030582,10,8192
4,8,3763.037467216944,0.03346030000011524,"[9, 11, 3, 21, 4, 10, 15, 1, 23, 5, 2, 22, 14, 17, 24, 18, 8, 7, 0, 6, 19, 25, 20, 16, 13, 12]",geometric,10,0.99,0.001,9.996637692854602,10,8192
5,16,4015.8769710807546,0.0510389999999461,"[9, 11, 3, 21, 4, 24, 15, 1, 23, 12, 2, 22, 14, 17, 10, 18, 8, 7, 0, 6, 19, 25, 20, 16, 13, 5]",geometric,10,0.99,0.001,9.994871724493958,10,8192
6,32,4097.249295931309,0.06278470000006564,"[9, 11, 3, 21, 4, 7, 12, 1, 23, 15, 2, 22, 14, 17, 10, 18, 8, 0, 24, 6, 19, 25, 20, 16, 13, 5]",geometric,10,0.99,0.001,9.993691917217898,10,8192
7,64,4305.124001427972,0.0803249999999025,"[3, 25, 9, 21, 4, 12, 8, 1, 0, 15, 2, 22, 14, 17, 10, 18, 24, 23, 7, 6, 19, 11, 20, 5, 13, 16]",geometric,10,0.99,0.001,9.991930325460752,10,8192
8,128,4531.3549605993785,0.10254960000020219,"[10, 25, 17, 6, 4, 12, 8, 24, 15, 9, 16, 22, 2, 19, 3, 18, 21, 23, 7, 1, 0, 11, 20, 5, 13, 14]",geometric,10,0.99,0.001,9.989698730238082,10,8192
9,256,4712.404662846936,0.13433230000009644,"[10, 1, 17, 22, 18, 3, 8, 24, 6, 23, 16, 7, 5, 19, 21, 4, 12, 9, 15, 2, 13, 11, 0, 25, 20, 14]",geometric,10,0.99,0.001,9.986508262234148,10,8192
10,512,4844.346826474825,0.1878457000002527,"[13, 17, 9, 22, 1, 12, 8, 24, 23, 16, 0, 7, 5, 19, 21, 4, 3, 18, 15, 14, 6, 11, 10, 25, 20, 2]",geometric,10,0.99,0.001,9.981138686119687,10,8192
11,1024,4873.076909644953,0.29319660000010117,"[20, 17, 4, 3, 18, 12, 8, 24, 23, 16, 6, 7, 5, 19, 21, 9, 22, 1, 15, 11, 0, 25, 10, 14, 13, 2]",geometric,10,0.99,0.001,9.970576130295957,10,8192
12,2048,4873.076909644953,0.33334740000009333,"[20, 17, 4, 3, 18, 12, 8, 24, 23, 16, 6, 7, 5, 19, 21, 9, 22, 1, 15, 11, 0, 25, 10, 14, 13, 2]",geometric,10,0.99,0.001,9.966553525107097,10,8192
13,4096,4873.076909644953,0.33334740000009333,"[20, 17, 4, 3, 18, 12, 8, 24, 23, 16, 6, 7, 5, 19, 21, 9, 22, 1, 15, 11, 0, 25, 10, 14, 13, 2]",geometric,10,0.99,0.001,9.966553525107097,10,8192
14,8192,4873.076909644953,0.33334740000009333,"[20, 17, 4, 3, 18, 12, 8, 24, 23, 16, 6, 7, 5, 19, 21, 9, 22, 1, 15, 11, 0, 25, 10, 14, 13, 2]",geometric,10,0.99,0.001,9.966553525107097,10,8192
