,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,4451.630378551704,0.01943570000003092,"[10, 25, 12, 11, 26, 15, 1, 3, 18, 21, 9, 24, 5, 29, 2, 22, 14, 30, 28, 8, 17, 0, 6, 23, 19, 7, 20, 27, 16, 13, 4]",300,0.03,2048
1,1,4611.6427500109185,0.07907569999952102,"[5, 11, 15, 9, 7, 30, 21, 23, 1, 22, 26, 20, 24, 10, 19, 16, 14, 0, 13, 6, 4, 12, 8, 3, 29, 17, 2, 27, 28, 18, 25]",300,0.03,2048
2,2,4617.772866092779,0.15048699999988457,"[26, 19, 4, 20, 18, 3, 25, 12, 9, 21, 14, 22, 2, 28, 29, 11, 17, 1, 7, 27, 10, 16, 30, 6, 8, 13, 24, 15, 23, 5, 0]",300,0.03,2048
3,4,4687.2410503657775,0.27695159999984753,"[27, 6, 30, 8, 25, 14, 0, 17, 4, 5, 26, 3, 29, 1, 22, 16, 15, 19, 2, 12, 9, 21, 18, 23, 28, 13, 24, 11, 10, 20, 7]",300,0.03,2048
4,8,4948.92381322216,0.5189242999995258,"[6, 13, 23, 28, 26, 30, 24, 2, 3, 4, 5, 11, 15, 9, 7, 21, 1, 22, 20, 10, 19, 16, 14, 0, 17, 29, 27, 8, 12, 25, 18]",300,0.03,2048
5,16,5057.905723939393,1.0144046999994316,"[16, 7, 29, 15, 13, 10, 11, 22, 4, 20, 18, 3, 25, 12, 9, 5, 30, 21, 14, 0, 26, 28, 2, 6, 23, 24, 1, 27, 8, 19, 17]",300,0.03,2048
6,32,5261.164714534693,1.9780007999997906,"[16, 7, 25, 13, 23, 28, 26, 6, 30, 24, 2, 3, 4, 5, 11, 15, 9, 21, 1, 22, 20, 10, 19, 14, 0, 18, 12, 8, 27, 29, 17]",300,0.03,2048
7,64,5317.745944252343,3.990422299999409,"[16, 7, 25, 17, 23, 28, 26, 6, 30, 24, 2, 3, 4, 5, 11, 15, 9, 21, 29, 22, 1, 20, 10, 19, 27, 14, 0, 8, 12, 18, 13]",300,0.03,2048
8,128,5403.299726296355,8.008625100000245,"[16, 7, 27, 25, 21, 1, 28, 26, 6, 30, 13, 2, 3, 4, 24, 11, 5, 9, 15, 23, 22, 29, 10, 19, 17, 20, 14, 12, 18, 0, 8]",300,0.03,2048
9,256,5440.209810046672,16.334938999999395,"[16, 7, 27, 11, 21, 1, 28, 26, 6, 18, 12, 2, 24, 4, 3, 19, 5, 9, 15, 23, 22, 29, 10, 25, 17, 20, 30, 13, 14, 0, 8]",300,0.03,2048
10,512,5474.237337558038,32.411235900000065,"[16, 7, 27, 23, 24, 1, 28, 26, 6, 18, 12, 2, 22, 4, 21, 29, 3, 19, 5, 9, 15, 11, 10, 25, 17, 20, 8, 13, 14, 0, 30]",300,0.03,2048
11,1024,5495.520114693031,65.17821670000012,"[20, 26, 27, 23, 24, 1, 12, 14, 13, 18, 28, 2, 22, 4, 21, 29, 3, 11, 15, 9, 10, 19, 5, 25, 17, 16, 7, 6, 8, 0, 30]",300,0.03,2048
12,2048,5506.679492566487,86.3474368999996,"[6, 26, 27, 23, 24, 1, 12, 14, 13, 18, 28, 2, 22, 4, 21, 29, 3, 11, 15, 9, 10, 19, 5, 25, 17, 16, 7, 20, 30, 0, 8]",300,0.03,2048
