,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0943601,12.0,150,0.01,2048
1,1,0.2133435,10.0,150,0.01,2048
2,2,0.334189,10.0,150,0.01,2048
3,3,0.4251766,10.0,150,0.01,2048
4,4,0.5028798000000001,10.0,150,0.01,2048
5,5,0.5965958,10.0,150,0.01,2048
6,6,0.6695332,9.0,150,0.01,2048
7,7,0.7424851,9.0,150,0.01,2048
8,8,0.8159465,9.0,150,0.01,2048
9,9,0.9055922000000001,8.0,150,0.01,2048
10,10,0.9830512,8.0,150,0.01,2048
11,11,1.0574783,8.0,150,0.01,2048
12,12,1.1308340000000001,8.0,150,0.01,2048
13,13,1.2028089,6.0,150,0.01,2048
14,14,1.2942882,6.0,150,0.01,2048
15,15,1.3709512000000001,6.0,150,0.01,2048
16,16,1.4552048,6.0,150,0.01,2048
17,17,1.578652,6.0,150,0.01,2048
18,18,1.6578929,6.0,150,0.01,2048
19,19,1.7464588,6.0,150,0.01,2048
20,20,1.8781036,6.0,150,0.01,2048
21,21,1.9822368000000001,6.0,150,0.01,2048
22,22,2.0916447,6.0,150,0.01,2048
23,23,2.2051494999999997,5.0,150,0.01,2048
24,24,2.2910578,5.0,150,0.01,2048
25,25,2.3650274,5.0,150,0.01,2048
26,26,2.4378900999999997,5.0,150,0.01,2048
27,27,2.5107611,5.0,150,0.01,2048
28,28,2.5866989,5.0,150,0.01,2048
29,29,2.6821276,3.0,150,0.01,2048
30,30,2.7872779,3.0,150,0.01,2048
31,31,2.8620989999999997,3.0,150,0.01,2048
32,32,2.9409321,3.0,150,0.01,2048
33,33,3.0600262999999996,3.0,150,0.01,2048
34,34,3.1326297,3.0,150,0.01,2048
35,35,3.2308239,3.0,150,0.01,2048
36,36,3.3128751,3.0,150,0.01,2048
37,37,3.3969229,3.0,150,0.01,2048
38,38,3.4697155,3.0,150,0.01,2048
39,39,3.5444837999999996,3.0,150,0.01,2048
40,40,3.6460806,3.0,150,0.01,2048
41,41,3.7498734,3.0,150,0.01,2048
42,42,3.8356738999999997,3.0,150,0.01,2048
43,43,3.9348862999999996,3.0,150,0.01,2048
44,44,4.1008256,3.0,150,0.01,2048
45,45,4.208200000000001,3.0,150,0.01,2048
46,46,4.340286600000001,3.0,150,0.01,2048
47,47,4.4469899,3.0,150,0.01,2048
48,48,4.5548747,3.0,150,0.01,2048
49,49,4.6340792,3.0,150,0.01,2048
50,50,4.7115242,3.0,150,0.01,2048
51,51,4.8203521,3.0,150,0.01,2048
52,52,4.895294900000001,3.0,150,0.01,2048
53,53,5.029762,3.0,150,0.01,2048
54,54,5.1555564,3.0,150,0.01,2048
55,55,5.2999434,3.0,150,0.01,2048
56,56,5.4054989,3.0,150,0.01,2048
57,57,5.5163623,3.0,150,0.01,2048
58,58,5.6448823,3.0,150,0.01,2048
59,59,5.7281139,3.0,150,0.01,2048
60,60,5.8124317,3.0,150,0.01,2048
61,61,5.918353300000001,3.0,150,0.01,2048
62,62,6.0184734,3.0,150,0.01,2048
63,63,6.1350167,3.0,150,0.01,2048
64,64,6.2213856000000005,3.0,150,0.01,2048
65,65,6.3660099,3.0,150,0.01,2048
66,66,6.4523677,3.0,150,0.01,2048
67,67,6.5834549,3.0,150,0.01,2048
68,68,6.6958339,3.0,150,0.01,2048
69,69,6.8077144,3.0,150,0.01,2048
70,70,6.9023156000000006,3.0,150,0.01,2048
71,71,7.0051566,3.0,150,0.01,2048
72,72,7.1139112,3.0,150,0.01,2048
73,73,7.1945452,3.0,150,0.01,2048
74,74,7.2722975000000005,3.0,150,0.01,2048
75,75,7.3475443,3.0,150,0.01,2048
76,76,7.424188200000001,3.0,150,0.01,2048
77,77,7.5104585,3.0,150,0.01,2048
78,78,7.6085427,3.0,150,0.01,2048
79,79,7.704701200000001,3.0,150,0.01,2048
80,80,7.7779509000000004,3.0,150,0.01,2048
81,81,7.853255,3.0,150,0.01,2048
82,82,7.9271840000000005,3.0,150,0.01,2048
83,83,8.0335009,3.0,150,0.01,2048
84,84,8.149461599999999,3.0,150,0.01,2048
85,85,8.270190099999999,3.0,150,0.01,2048
86,86,8.3802582,3.0,150,0.01,2048
87,87,8.4585077,3.0,150,0.01,2048
88,88,8.5311834,3.0,150,0.01,2048
89,89,8.6066533,3.0,150,0.01,2048
90,90,8.6796454,3.0,150,0.01,2048
91,91,8.7550441,3.0,150,0.01,2048
92,92,8.8358692,3.0,150,0.01,2048
93,93,8.910385999999999,3.0,150,0.01,2048
94,94,8.9917427,3.0,150,0.01,2048
95,95,9.0694679,3.0,150,0.01,2048
96,96,9.1414419,3.0,150,0.01,2048
97,97,9.214017799999999,3.0,150,0.01,2048
98,98,9.2876754,3.0,150,0.01,2048
99,99,9.363537599999999,3.0,150,0.01,2048
100,100,9.4385535,3.0,150,0.01,2048
101,101,9.5125508,3.0,150,0.01,2048
102,102,9.587873199999999,3.0,150,0.01,2048
103,103,9.665116999999999,3.0,150,0.01,2048
104,104,9.764589599999999,3.0,150,0.01,2048
105,105,9.8426131,3.0,150,0.01,2048
106,106,9.919647999999999,3.0,150,0.01,2048
107,107,10.019554699999999,3.0,150,0.01,2048
108,108,10.094659199999999,3.0,150,0.01,2048
109,109,10.1684253,3.0,150,0.01,2048
110,110,10.2502447,3.0,150,0.01,2048
111,111,10.3277574,3.0,150,0.01,2048
112,112,10.4070244,3.0,150,0.01,2048
113,113,10.488711299999999,3.0,150,0.01,2048
114,114,10.569129799999999,3.0,150,0.01,2048
115,115,10.6773445,3.0,150,0.01,2048
116,116,10.782451199999999,3.0,150,0.01,2048
117,117,10.893372,3.0,150,0.01,2048
118,118,10.9826705,3.0,150,0.01,2048
119,119,11.058923499999999,3.0,150,0.01,2048
120,120,11.1414069,3.0,150,0.01,2048
121,121,11.241804799999999,3.0,150,0.01,2048
122,122,11.3519084,3.0,150,0.01,2048
123,123,11.4518633,3.0,150,0.01,2048
124,124,11.534056699999999,3.0,150,0.01,2048
125,125,11.6302753,3.0,150,0.01,2048
126,126,11.705397699999999,3.0,150,0.01,2048
127,127,11.7833502,3.0,150,0.01,2048
128,128,11.889745699999999,3.0,150,0.01,2048
129,129,12.0695474,3.0,150,0.01,2048
130,130,12.1674733,3.0,150,0.01,2048
131,131,12.2735182,3.0,150,0.01,2048
132,132,12.4088547,3.0,150,0.01,2048
133,133,12.517975499999999,3.0,150,0.01,2048
134,134,12.6206061,3.0,150,0.01,2048
135,135,12.7000801,3.0,150,0.01,2048
136,136,12.773889899999999,3.0,150,0.01,2048
137,137,12.8548618,3.0,150,0.01,2048
138,138,12.9616118,3.0,150,0.01,2048
139,139,13.042553,3.0,150,0.01,2048
140,140,13.120732499999999,3.0,150,0.01,2048
141,141,13.193773799999999,3.0,150,0.01,2048
142,142,13.2821444,3.0,150,0.01,2048
143,143,13.3580656,3.0,150,0.01,2048
144,144,13.4573605,3.0,150,0.01,2048
145,145,13.5748307,3.0,150,0.01,2048
146,146,13.6933636,3.0,150,0.01,2048
147,147,13.767028,3.0,150,0.01,2048
148,148,13.843234299999999,3.0,150,0.01,2048
149,149,13.9167598,3.0,150,0.01,2048
150,150,14.009117799999999,3.0,150,0.01,2048
151,151,14.091042,3.0,150,0.01,2048
152,152,14.1632242,3.0,150,0.01,2048
153,153,14.237093499999999,3.0,150,0.01,2048
154,154,14.350073199999999,3.0,150,0.01,2048
155,155,14.4363102,3.0,150,0.01,2048
156,156,14.524370999999999,3.0,150,0.01,2048
157,157,14.600833199999999,3.0,150,0.01,2048
158,158,14.6829763,3.0,150,0.01,2048
159,159,14.7687931,3.0,150,0.01,2048
160,160,14.856402899999999,3.0,150,0.01,2048
161,161,14.9429889,3.0,150,0.01,2048
162,162,15.0495427,2.0,150,0.01,2048
163,163,15.1344091,2.0,150,0.01,2048
164,164,15.228867,2.0,150,0.01,2048
165,165,15.308726799999999,2.0,150,0.01,2048
166,166,15.4318203,2.0,150,0.01,2048
167,167,15.5182033,2.0,150,0.01,2048
168,168,15.590914099999999,2.0,150,0.01,2048
169,169,15.7161317,2.0,150,0.01,2048
170,170,15.7931581,2.0,150,0.01,2048
171,171,15.8711515,2.0,150,0.01,2048
172,172,15.9532793,2.0,150,0.01,2048
173,173,16.0570902,2.0,150,0.01,2048
174,174,16.1549901,2.0,150,0.01,2048
175,175,16.2340932,2.0,150,0.01,2048
176,176,16.3103657,2.0,150,0.01,2048
177,177,16.3904574,2.0,150,0.01,2048
178,178,16.468163399999998,2.0,150,0.01,2048
179,179,16.5406878,2.0,150,0.01,2048
180,180,16.6147831,2.0,150,0.01,2048
181,181,16.691286299999998,2.0,150,0.01,2048
182,182,16.7672354,2.0,150,0.01,2048
183,183,16.843025,2.0,150,0.01,2048
184,184,16.9356539,2.0,150,0.01,2048
