,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,13.0,0.0943601,"[4, 13, 16, 7, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",150,0.01,2048
1,1,12.0,0.2133435,"[8, 5, 19, 6, 16, 8, 1, 18, 13, 1, 7, 15, 19, 0, 16, 9, 2, 16, 1, 0]",150,0.01,2048
2,2,10.0,0.334189,"[11, 1, 4, 6, 18, 16, 1, 3, 10, 7, 17, 4, 11, 19, 19, 9, 6, 2, 10, 12]",150,0.01,2048
3,4,10.0,0.5028798000000001,"[11, 1, 4, 6, 18, 16, 1, 3, 10, 7, 17, 4, 11, 19, 19, 9, 6, 2, 10, 12]",150,0.01,2048
4,8,9.0,0.8159465,"[10, 8, 10, 15, 7, 8, 1, 3, 6, 18, 12, 17, 5, 19, 11, 4, 10, 7, 17, 10]",150,0.01,2048
5,16,6.0,1.4552048,"[16, 7, 19, 12, 18, 8, 14, 17, 6, 1, 17, 2, 5, 12, 19, 4, 10, 3, 19, 15]",150,0.01,2048
6,32,3.0,2.9409321,"[11, 1, 4, 0, 13, 8, 14, 3, 10, 7, 17, 15, 18, 12, 19, 9, 6, 2, 10, 12]",150,0.01,2048
7,64,3.0,6.2213856000000005,"[11, 1, 4, 0, 13, 8, 14, 3, 10, 7, 17, 15, 18, 12, 19, 9, 6, 2, 10, 12]",150,0.01,2048
8,128,3.0,11.889745699999999,"[11, 1, 4, 0, 13, 8, 14, 3, 10, 7, 17, 15, 18, 12, 19, 9, 6, 2, 10, 12]",150,0.01,2048
9,256,2.0,23.4969561,"[11, 1, 4, 0, 13, 8, 14, 3, 7, 7, 17, 15, 18, 1, 19, 9, 6, 2, 10, 12]",150,0.01,2048
10,512,2.0,34.0467369,"[11, 1, 4, 0, 13, 8, 14, 3, 7, 7, 17, 15, 18, 1, 19, 9, 6, 2, 10, 12]",150,0.01,2048
11,1024,2.0,34.0467369,"[11, 1, 4, 0, 13, 8, 14, 3, 7, 7, 17, 15, 18, 1, 19, 9, 6, 2, 10, 12]",150,0.01,2048
12,2048,2.0,34.0467369,"[11, 1, 4, 0, 13, 8, 14, 3, 7, 7, 17, 15, 18, 1, 19, 9, 6, 2, 10, 12]",150,0.01,2048
