,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0916580000000522,12.0,False,150,0.01,2048
1,1,0.3694783000000825,12.0,False,150,0.01,2048
2,2,0.671695199999931,12.0,False,150,0.01,2048
3,3,0.9752725999999257,12.0,False,150,0.01,2048
4,4,1.2984791999999743,12.0,False,150,0.01,2048
5,5,1.6055562999999893,12.0,False,150,0.01,2048
6,6,1.9081266000000596,12.0,False,150,0.01,2048
7,7,2.2437801000000945,12.0,False,150,0.01,2048
8,8,2.5110520000000633,12.0,False,150,0.01,2048
9,9,2.799747000000025,12.0,False,150,0.01,2048
10,10,3.055807500000128,12.0,False,150,0.01,2048
11,11,3.3125872000000527,12.0,False,150,0.01,2048
12,12,3.5953876000000946,12.0,False,150,0.01,2048
13,13,3.883135799999991,12.0,False,150,0.01,2048
14,14,4.173761799999966,12.0,False,150,0.01,2048
15,15,4.456372900000133,12.0,False,150,0.01,2048
16,16,4.762125200000128,12.0,False,150,0.01,2048
17,17,5.116260000000011,12.0,False,150,0.01,2048
18,18,5.468935999999985,12.0,False,150,0.01,2048
19,19,5.782426200000145,12.0,False,150,0.01,2048
20,20,6.075731800000085,12.0,False,150,0.01,2048
21,21,6.382068500000059,12.0,False,150,0.01,2048
22,22,6.636351000000104,12.0,False,150,0.01,2048
23,23,6.887732599999936,12.0,False,150,0.01,2048
24,24,7.163644200000135,12.0,False,150,0.01,2048
25,25,7.401999800000112,12.0,False,150,0.01,2048
26,26,7.666566300000113,12.0,False,150,0.01,2048
27,27,7.926040300000068,12.0,False,150,0.01,2048
28,28,8.215219100000013,12.0,False,150,0.01,2048
29,29,8.491830700000037,12.0,False,150,0.01,2048
30,30,8.795803200000137,12.0,False,150,0.01,2048
31,31,9.078899300000103,12.0,False,150,0.01,2048
32,32,9.32231139999999,12.0,False,150,0.01,2048
33,33,9.59309660000008,12.0,False,150,0.01,2048
34,34,9.86729020000007,12.0,False,150,0.01,2048
35,35,10.126347899999928,12.0,False,150,0.01,2048
36,36,10.480562599999985,12.0,False,150,0.01,2048
37,37,10.811041100000011,12.0,False,150,0.01,2048
38,38,11.096135499999946,12.0,False,150,0.01,2048
39,39,11.42696479999995,12.0,False,150,0.01,2048
