,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,13.0,0.0916580000000522,"[4, 13, 16, 7, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",False,150,0.01,2048
1,1,12.0,0.3694783000000825,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
2,2,12.0,0.671695199999931,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
3,4,12.0,1.2984791999999743,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
4,8,12.0,2.5110520000000633,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
5,16,12.0,4.762125200000128,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
6,32,12.0,9.32231139999999,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
7,64,12.0,18.50515150000001,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
8,128,12.0,36.86270289999993,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
9,256,12.0,57.289047499999924,"[8.0, 5.0, 19.0, 6.0, 16.0, 8.0, 14.0, 7.0, 13.0, 1.0, 7.0, 15.0, 19.0, 0.0, 16.0, 9.0, 2.0, 18.0, 7.0, 15.0]",False,150,0.01,2048
