,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,13.0,0.0006162999998196028,"[4, 13, 16, 7, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",25,2048,0
1,1,13.0,0.002688499999749183,"[4, 13, 16, 7, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",25,2048,0
2,2,13.0,0.013915699999870412,"[4, 13, 16, 7, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",25,2048,0
3,4,12.0,0.026300999999875785,"[4, 13, 16, 5, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",25,2048,0
4,8,12.0,0.038359399999990273,"[4, 13, 16, 5, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",25,2048,0
5,16,12.0,0.05171799999970972,"[4, 13, 16, 5, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",25,2048,0
6,32,10.0,0.06975419999980659,"[4, 13, 16, 5, 15, 6, 0, 17, 8, 16, 16, 4, 19, 14, 6, 18, 13, 0, 18, 3]",25,2048,0
7,64,9.0,0.1054997999999614,"[4, 13, 16, 5, 15, 6, 0, 17, 8, 16, 16, 4, 19, 14, 6, 18, 7, 0, 18, 3]",25,2048,0
8,128,7.0,0.16017479999982243,"[4, 13, 16, 5, 15, 6, 15, 17, 8, 16, 16, 4, 19, 14, 6, 18, 7, 0, 12, 3]",25,2048,0
9,256,2.0,0.2657824999996592,"[4, 13, 1, 5, 2, 10, 15, 17, 8, 2, 16, 7, 19, 14, 6, 18, 7, 0, 12, 3]",25,2048,0
10,512,2.0,0.392213399999946,"[4, 13, 1, 5, 2, 10, 15, 17, 8, 2, 16, 7, 19, 14, 6, 18, 7, 0, 12, 3]",25,2048,0
11,1024,2.0,0.392213399999946,"[4, 13, 1, 5, 2, 10, 15, 17, 8, 2, 16, 7, 19, 14, 6, 18, 7, 0, 12, 3]",25,2048,0
12,2048,2.0,0.392213399999946,"[4, 13, 1, 5, 2, 10, 15, 17, 8, 2, 16, 7, 19, 14, 6, 18, 7, 0, 12, 3]",25,2048,0
13,0,13.0,0.41266289999975925,"[8, 3, 12, 16, 8, 7, 11, 17, 14, 16, 1, 15, 1, 5, 7, 14, 2, 14, 2, 18]",25,2048,1
14,1,13.0,0.41449269999975513,"[8, 3, 12, 16, 8, 7, 11, 17, 14, 16, 1, 15, 1, 5, 7, 14, 2, 14, 2, 18]",25,2048,1
15,2,13.0,0.4298518000000513,"[8, 3, 12, 16, 8, 7, 11, 17, 14, 16, 1, 15, 1, 5, 7, 14, 2, 14, 2, 18]",25,2048,1
16,4,12.0,0.44437639999978273,"[8, 3, 12, 16, 8, 7, 11, 17, 14, 16, 1, 15, 1, 5, 7, 9, 2, 14, 2, 18]",25,2048,1
17,8,9.0,0.46260039999970104,"[8, 3, 12, 16, 8, 0, 11, 17, 14, 16, 1, 15, 1, 5, 7, 9, 2, 14, 2, 18]",25,2048,1
18,16,9.0,0.48577849999992395,"[8, 3, 12, 16, 8, 0, 11, 17, 14, 16, 1, 15, 1, 5, 7, 9, 2, 14, 2, 18]",25,2048,1
