,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,13.0,0.000554799999918032,"[4, 13, 16, 7, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",geometric,1,0.99,0.001,0.9999944240892148,1,8192
1,1,13.0,0.0022862000000714033,"[4, 18, 16, 7, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",geometric,1,0.99,0.001,0.999977023186142,1,8192
2,2,12.0,0.01547279999977036,"[4, 18, 16, 5, 19, 6, 0, 17, 8, 16, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",geometric,1,0.99,0.001,0.9998445052539696,1,8192
3,4,13.0,0.027181999999811524,"[4, 18, 16, 5, 19, 6, 0, 17, 8, 9, 19, 4, 19, 14, 6, 18, 13, 0, 18, 3]",geometric,1,0.99,0.001,0.9997268490833384,1,8192
4,8,14.0,0.04053070000009029,"[4, 18, 3, 5, 19, 6, 0, 17, 8, 9, 19, 10, 19, 14, 6, 18, 13, 0, 18, 3]",geometric,1,0.99,0.001,0.9995927358072066,1,8192
5,16,12.0,0.057348499999989144,"[4, 13, 3, 7, 19, 6, 0, 17, 8, 11, 16, 10, 19, 14, 6, 18, 13, 0, 18, 0]",geometric,1,0.99,0.001,0.999423794384558,1,8192
6,32,12.0,0.07850049999979092,"[4, 13, 3, 7, 5, 16, 0, 17, 8, 11, 16, 10, 19, 14, 6, 1, 7, 0, 18, 0]",geometric,1,0.99,0.001,0.9992113547545949,1,8192
7,64,7.0,0.11133699999982127,"[4, 13, 3, 7, 15, 2, 0, 17, 1, 16, 11, 10, 19, 9, 9, 17, 14, 0, 18, 8]",geometric,1,0.99,0.001,0.9988816515753121,1,8192
8,128,7.0,0.16103849999990416,"[4, 13, 3, 11, 15, 2, 19, 12, 1, 16, 12, 10, 17, 5, 17, 1, 14, 0, 18, 8]",geometric,1,0.99,0.001,0.9983828180399082,1,8192
9,256,3.0,0.26216829999975744,"[4, 7, 3, 11, 15, 2, 6, 17, 1, 16, 12, 10, 17, 5, 9, 1, 14, 0, 13, 8]",geometric,1,0.99,0.001,0.9973685887829515,1,8192
