,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.013165800000000002,7531.190525644579,150,0.01,2048
1,1,0.061466799999999995,7531.190525644579,150,0.01,2048
2,2,0.1359013,7682.242287970432,150,0.01,2048
3,3,0.21604900000000002,7682.242287970432,150,0.01,2048
4,4,0.2697994,7682.242287970432,150,0.01,2048
5,5,0.3291907,7682.242287970432,150,0.01,2048
6,6,0.3671412,7682.242287970432,150,0.01,2048
7,7,0.40472210000000003,7695.930514818787,150,0.01,2048
8,8,0.4427869,7742.627685197933,150,0.01,2048
9,9,0.4997201,7821.581087932212,150,0.01,2048
10,10,0.5373425000000001,7972.000656532117,150,0.01,2048
11,11,0.5749815,8019.611561933353,150,0.01,2048
12,12,0.6142161,8019.611561933353,150,0.01,2048
13,13,0.6536747,8019.611561933353,150,0.01,2048
14,14,0.6922247,8057.1885332358215,150,0.01,2048
15,15,0.7321056,8151.96713405575,150,0.01,2048
16,16,0.7824972,8151.96713405575,150,0.01,2048
17,17,0.8619149,8227.91080358711,150,0.01,2048
18,18,0.9004282,8227.91080358711,150,0.01,2048
19,19,0.9408284,8227.91080358711,150,0.01,2048
20,20,0.9789089,8297.71450964967,150,0.01,2048
21,21,1.0183644,8297.71450964967,150,0.01,2048
22,22,1.0558874,8297.71450964967,150,0.01,2048
23,23,1.1030649,8297.71450964967,150,0.01,2048
24,24,1.1499752,8360.713330837367,150,0.01,2048
25,25,1.2286737,8360.713330837367,150,0.01,2048
26,26,1.26793,8403.078998284134,150,0.01,2048
27,27,1.3062077,8419.179597047414,150,0.01,2048
28,28,1.3604439,8577.4472911009,150,0.01,2048
29,29,1.4031461,8577.4472911009,150,0.01,2048
30,30,1.4499884,8577.4472911009,150,0.01,2048
31,31,1.4938914,8577.4472911009,150,0.01,2048
32,32,1.5361157,8577.4472911009,150,0.01,2048
33,33,1.6121461,8577.4472911009,150,0.01,2048
34,34,1.6511447,8577.4472911009,150,0.01,2048
35,35,1.6908064,8577.4472911009,150,0.01,2048
36,36,1.7298601,8577.4472911009,150,0.01,2048
37,37,1.7705652,8577.4472911009,150,0.01,2048
38,38,1.8101274,8597.353539691963,150,0.01,2048
39,39,1.8534857,8597.353539691963,150,0.01,2048
40,40,1.9007862,8608.613406238588,150,0.01,2048
41,41,1.9397097,8615.274761130544,150,0.01,2048
