,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,6558.161043280753,0.013165800000000002,"[10, 43, 20, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 40, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 9, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 8, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",150,0.01,2048
1,1,7531.190525644579,0.061466799999999995,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",150,0.01,2048
2,2,7531.190525644579,0.1359013,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",150,0.01,2048
3,4,7682.242287970432,0.2697994,"[7, 37, 18, 29, 25, 40, 28, 36, 31, 38, 6, 2, 14, 15, 46, 44, 9, 0, 33, 3, 8, 43, 13, 42, 41, 21, 39, 48, 49, 27, 20, 32, 23, 30, 4, 34, 17, 22, 11, 1, 5, 35, 10, 47, 24, 45, 12, 16, 26, 19]",150,0.01,2048
4,8,7695.930514818787,0.4427869,"[13, 42, 23, 29, 3, 47, 43, 41, 26, 12, 36, 6, 46, 22, 28, 18, 38, 17, 15, 0, 2, 16, 45, 39, 40, 4, 33, 11, 24, 25, 10, 35, 1, 20, 48, 44, 34, 37, 8, 21, 5, 14, 27, 49, 7, 9, 31, 32, 19, 30]",150,0.01,2048
5,16,8151.96713405575,0.7824972,"[14, 48, 12, 4, 0, 23, 13, 28, 7, 42, 29, 3, 47, 43, 41, 26, 36, 6, 46, 22, 18, 38, 17, 15, 2, 16, 45, 39, 40, 33, 11, 24, 25, 10, 35, 1, 20, 44, 34, 37, 8, 31, 9, 27, 49, 32, 21, 5, 19, 30]",150,0.01,2048
6,32,8577.4472911009,1.5361157,"[13, 43, 14, 48, 28, 35, 34, 7, 37, 11, 27, 36, 6, 2, 16, 47, 45, 12, 4, 0, 23, 42, 29, 3, 39, 40, 41, 15, 33, 24, 25, 10, 1, 20, 21, 32, 38, 17, 49, 5, 9, 31, 18, 30, 8, 26, 44, 46, 22, 19]",150,0.01,2048
7,64,8910.218020112836,3.1165874000000002,"[28, 14, 48, 13, 43, 35, 34, 11, 12, 4, 16, 0, 23, 42, 7, 27, 36, 6, 2, 47, 45, 37, 29, 3, 39, 40, 41, 15, 33, 24, 25, 26, 20, 46, 22, 18, 10, 38, 17, 1, 44, 8, 21, 9, 31, 49, 5, 32, 30, 19]",150,0.01,2048
8,128,8957.284965924755,5.9740186,"[28, 14, 48, 13, 43, 35, 34, 25, 12, 4, 0, 16, 23, 42, 7, 27, 36, 6, 2, 47, 45, 37, 29, 3, 41, 40, 39, 15, 33, 26, 20, 46, 22, 18, 24, 11, 10, 38, 17, 1, 44, 8, 21, 9, 31, 49, 5, 32, 30, 19]",150,0.01,2048
9,256,9101.552026247327,12.1552853,"[6, 14, 48, 16, 43, 7, 34, 13, 25, 12, 4, 0, 23, 24, 35, 27, 36, 28, 19, 47, 45, 37, 29, 3, 9, 40, 39, 15, 33, 26, 20, 46, 22, 18, 42, 11, 10, 38, 17, 1, 44, 8, 21, 41, 31, 49, 5, 32, 30, 2]",150,0.01,2048
10,512,9192.06996660074,23.881566499999998,"[6, 35, 43, 16, 48, 7, 34, 13, 19, 12, 4, 28, 23, 24, 32, 27, 36, 21, 25, 47, 45, 37, 29, 44, 9, 40, 39, 15, 33, 26, 20, 46, 5, 18, 42, 11, 10, 38, 17, 1, 3, 8, 0, 41, 31, 49, 22, 2, 30, 14]",150,0.01,2048
