,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,6558.161043280753,0.020955299999968702,"[10, 43, 20, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 40, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 9, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 8, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",False,150,0.01,2048
1,1,7531.190525644579,1.5689209000001938,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
2,2,7531.190525644579,3.2505513000000974,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
3,4,7531.190525644579,6.422994300000028,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
4,8,7531.190525644579,12.661557500000072,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
5,16,7531.190525644579,25.056685900000048,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
6,32,7531.190525644579,49.94518879999987,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
7,64,7531.190525644579,102.83876869999995,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
8,128,7531.190525644579,203.43878270000005,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
9,256,7531.190525644579,317.8308204,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
10,512,7531.190525644579,317.8308204,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
11,1024,7531.190525644579,317.8308204,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
12,2048,7531.190525644579,317.8308204,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.01,2048
13,0,6558.161043280753,0.02151000000003478,"[10, 43, 20, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 40, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 9, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 8, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",False,150,0.02,2048
14,1,7531.190525644579,1.6111711000003197,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
15,2,7531.190525644579,3.2707848000000013,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
16,4,7531.190525644579,6.390494300000228,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
17,8,7531.190525644579,12.557514200000242,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
18,16,7531.190525644579,24.759837099999913,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
19,32,7531.190525644579,48.56878630000028,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
20,64,7531.190525644579,96.56592260000025,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
21,128,7531.190525644579,194.57895979999967,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
22,256,7531.190525644579,305.39386390000027,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
23,512,7531.190525644579,305.39386390000027,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
24,1024,7531.190525644579,305.39386390000027,"[2, 16, 47, 45, 39, 40, 43, 12, 4, 15, 3, 33, 11, 24, 13, 25, 10, 35, 28, 1, 36, 20, 48, 46, 44, 34, 41, 37, 8, 18, 21, 23, 5, 14, 22, 38, 7, 31, 19, 26, 29, 27, 32, 17, 0, 9, 6, 49, 30, 42]",False,150,0.02,2048
