,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,6558.161043280753,0.0001505999971413985,"[10, 43, 20, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 40, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 9, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 8, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",geometric,1,0.99,0.001,0.9999984864205946,1,8192
1,1,6652.362270988119,0.0014505999970424455,"[10, 43, 40, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 20, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 9, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 8, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",geometric,1,0.99,0.001,0.999985421089114,1,8192
2,2,6652.529613252962,0.012273799999093171,"[10, 43, 40, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 20, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 8, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 9, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",geometric,1,0.99,0.001,0.9998766517958257,1,8192
3,4,6652.529613252962,0.021861299999727635,"[10, 43, 40, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 20, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 8, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 9, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",geometric,1,0.99,0.001,0.9997803107280316,1,8192
4,8,6702.906858711382,0.03200289999949746,"[10, 43, 40, 36, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 20, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 8, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 9, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 44]",geometric,1,0.99,0.001,0.9996784118272842,1,8192
5,16,6910.900294478541,0.04411689999687951,"[10, 43, 40, 36, 12, 23, 49, 9, 46, 15, 34, 3, 26, 6, 20, 28, 45, 35, 33, 47, 22, 41, 1, 37, 25, 8, 5, 32, 2, 4, 39, 48, 11, 42, 27, 16, 19, 31, 18, 17, 29, 21, 0, 38, 7, 24, 14, 13, 30, 44]",geometric,1,0.99,0.001,0.9995567086208857,1,8192
6,32,7379.887257377577,0.05907139999908395,"[10, 43, 40, 36, 12, 23, 30, 8, 46, 15, 34, 3, 26, 6, 44, 48, 45, 35, 33, 47, 22, 41, 1, 37, 25, 9, 5, 32, 2, 16, 39, 28, 11, 42, 4, 27, 19, 31, 18, 17, 29, 21, 0, 38, 7, 24, 14, 13, 49, 20]",geometric,1,0.99,0.001,0.9994064887881722,1,8192
7,64,7941.956083492765,0.07690379999985453,"[10, 43, 40, 36, 27, 41, 30, 8, 46, 15, 34, 3, 26, 6, 44, 48, 2, 37, 33, 47, 22, 23, 1, 35, 14, 9, 5, 32, 45, 0, 39, 28, 11, 42, 4, 12, 19, 31, 18, 17, 29, 21, 16, 38, 7, 24, 25, 13, 49, 20]",geometric,1,0.99,0.001,0.9992273895988267,1,8192
8,128,8348.166507656772,0.0975034000002779,"[20, 43, 40, 36, 27, 34, 13, 8, 26, 3, 41, 42, 46, 6, 44, 48, 2, 37, 33, 23, 15, 49, 1, 10, 16, 9, 5, 32, 18, 0, 39, 28, 11, 22, 4, 12, 19, 31, 45, 17, 29, 21, 14, 38, 7, 24, 25, 30, 47, 35]",geometric,1,0.99,0.001,0.9990205380694201,1,8192
9,256,8701.523555140582,0.12777869999990799,"[20, 31, 43, 46, 3, 34, 13, 26, 2, 12, 41, 42, 36, 1, 44, 48, 33, 40, 8, 18, 6, 49, 0, 16, 10, 9, 5, 32, 23, 15, 39, 27, 11, 22, 19, 28, 4, 37, 45, 17, 29, 47, 14, 21, 7, 24, 25, 30, 38, 35]",geometric,1,0.99,0.001,0.9987166054062249,1,8192
10,512,8966.613243184342,0.18020789999718545,"[20, 29, 5, 46, 3, 34, 17, 1, 33, 0, 39, 28, 35, 26, 44, 48, 2, 13, 43, 7, 6, 49, 12, 14, 27, 36, 42, 18, 10, 23, 41, 15, 11, 22, 19, 31, 4, 37, 45, 40, 8, 47, 9, 21, 32, 24, 25, 30, 38, 16]",geometric,1,0.99,0.001,0.9981904892238608,1,8192
11,1024,9217.944943668717,0.29467989999830024,"[47, 29, 13, 23, 20, 34, 17, 1, 35, 0, 41, 22, 33, 43, 44, 48, 2, 5, 9, 7, 21, 19, 28, 25, 6, 39, 15, 11, 31, 38, 36, 42, 49, 10, 8, 12, 46, 37, 45, 3, 4, 40, 18, 27, 32, 24, 14, 30, 16, 26]",geometric,1,0.99,0.001,0.9970427493413478,1,8192
12,2048,9315.038688192351,0.5561894999991637,"[13, 1, 47, 23, 5, 45, 17, 34, 33, 24, 32, 21, 16, 48, 44, 43, 36, 20, 29, 35, 27, 19, 15, 39, 6, 25, 22, 49, 31, 38, 2, 42, 11, 10, 4, 40, 46, 37, 9, 3, 8, 12, 18, 28, 41, 0, 14, 30, 7, 26]",geometric,1,0.99,0.001,0.9944257030985625,1,8192
13,4096,9327.401155202047,0.9040935999983049,"[13, 1, 47, 4, 5, 45, 17, 48, 16, 24, 36, 21, 33, 34, 44, 43, 32, 20, 29, 35, 0, 25, 15, 39, 6, 41, 22, 49, 31, 38, 2, 42, 11, 12, 8, 40, 46, 3, 9, 37, 23, 10, 18, 28, 19, 27, 14, 30, 7, 26]",geometric,1,0.99,0.001,0.9909547126610185,1,8192
14,8192,9327.401155202047,0.9040935999983049,"[13, 1, 47, 4, 5, 45, 17, 48, 16, 24, 36, 21, 33, 34, 44, 43, 32, 20, 29, 35, 0, 25, 15, 39, 6, 41, 22, 49, 31, 38, 2, 42, 11, 12, 8, 40, 46, 3, 9, 37, 23, 10, 18, 28, 19, 27, 14, 30, 7, 26]",geometric,1,0.99,0.001,0.9909547126610185,1,8192
15,0,6558.161043280753,0.00014999999984866008,"[10, 43, 20, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 40, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 9, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 8, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",geometric,10,0.99,0.001,9.999984924507599,10,8192
16,1,6652.362270988119,0.0013266999994812068,"[10, 43, 40, 44, 12, 23, 49, 18, 46, 15, 34, 11, 26, 6, 20, 28, 45, 35, 33, 47, 22, 41, 48, 37, 25, 9, 5, 32, 2, 4, 39, 1, 3, 42, 24, 14, 19, 31, 8, 17, 29, 21, 0, 38, 7, 27, 16, 13, 30, 36]",geometric,10,0.99,0.001,9.999866663083228,10,8192
